t5_30,"Доля научных работников, имеющих ученые степени, %"
1.1000000000000001,"Средний балл ЕГЭ студентов, принятых по результатам ЕГЭ на обучение по очной форме по программам бакалавриата и специалитета за счет средств соответствующих бюджетов бюджетной системы РФ, балл"
5.0999999999999996,"Общая площадь учебно-лабораторных помещений в расчете на одного студента (приведенного контингента),, м"
7.2000000000000002,"Удельный вес НПР имеющих ученую степень доктора наук, в общей численности НПР, %"
t5_57,"Доходы филиала  из внебюджетных источников, тыс. руб."
t5_8,"Доля обучающихся по программам магистратуры в общей численности обучающихся по программам бакалавриата, специалитета, магистратуры, %"
t5_32,"Доля ППС возрастной категории моложе 40 лет, %"
t1_7,Профиль организации
t5_9,"Общая численность слушателей программ дополнительного профессионального образования, чел."
t5_7,"Доля обучающихся по программам бакалавриата в общей численности обучающихся по программам бакалавриата, специалитета, магистратуры, %"
t4_4_15.00.00_2,"15.00.00 - Машиностроение, Доля приведенного контингента студентов по   от общего приведенного контингента студентов организации"
t5_41,"Число статей, подготовленных совместно с зарубежными организациями, ед."
5.2999999999999998,"закрепленных на праве оперативного управления, м"
t2_1_E.8,"Дополнительный показатель, Значение показателя"
7.0999999999999996,"Удельный вес НПР, имеющих ученую степень кандидата наук, в общей численности НПР, %"
t2_2_E.8,"Дополнительный показатель, Пороговое значение"
t2_2_E.1,"Образовательная деятельность, Пороговое значение"
2.1600000000000001,"Количество полученных грантов за отчетный год в расчете на 100 НПР, ед."
t5_21,"Общая численность аспирантов (адъюнктов), интернов, ординаторов, ассистентов-стажеров, чел."
t4_4_38.00.00_1,"38.00.00 - Экономика и управление, Приведенный контингент студентов"
t5_6,"Доля обучающихся по программам бакалавриата, специалитета, магистратуры в очной форме, %"
t5_59,"Доля доходов филиала  из федерального бюджета, %"
3.1000000000000001,"Удельный вес численности иностранных граждан (кроме стран СНГ) из числа аспирантов (адъюнктов), ординаторов, интернов, ассистентов-стажеров образовательной организации в общей численности аспирантов (адъюнктов), ординаторов, интернов, ассистентов-стажеров, %"
t5_33,"Средняя заработная плата ППС (без внешних совместителей и работающих по договорам ГПХ), тыс. руб."
t5_5,"Средний балл ЕГЭ студентов, принятых на обучение по программам бакалавриата и специалитета, по всем формам обучения, балл"
3.5,"Удельный вес численности иностранных студентов из стран СНГ, завершивших освоение образовательных программ бакалавриата, программ специалитета, программ магистратуры, в общей численности студентов (приведенный контингент), %"
t4_4_notag_3,notag
1.3,"Средний балл ЕГЭ студентов, принятых по результатам ЕГЭ на обучение по очной форме по программам бакалавриата и специалитета с оплатой стоимости затрат на обучение физическими и юридическими лицами, балл"
t4_4_11.00.00_2,"11.00.00 - Электроника, радиотехника и системы связи, Доля приведенного контингента студентов по   от общего приведенного контингента студентов организации"
5.5999999999999996,"Количество персональных компьютеров в расчете на одного студента (приведенного контингента), ед."
t4_4_11.00.00_3,"11.00.00 - Электроника, радиотехника и системы связи, Доля приведенного контингента студентов от общего приведенного контингента студентов, обучающихся по данной   в регионе"
t2_3_E.6,"Трудоустройство, Изменение относительно прошлого года"
1.1399999999999999,"Удельный вес численности слушателей из сторонних организаций в общей численности слушателей, прошедших обучение в образовательной организации по программам повышения квалификации или профессиональной переподготовки, %"
t5_15,"Общий объем средств, поступивших (за отчетный год) от выполнения работ, услуг, связанных с научными, научно-техническими, творческими услугами и разработками, выполненных собственными силами, тыс. руб."
3.1099999999999999,"Удельный вес численности иностранных граждан из стран СНГ из числа аспирантов (адъюнктов), ординаторов, интернов, ассистентов-стажеров образовательной организации в общей численности аспирантов (адъюнктов), ординаторов, интернов, ассистентов-стажеров, %"
5.7000000000000002,"Удельный вес стоимости машин и оборудования (не старше 5 лет) в общей стоимости машин и оборудования, %"
3.7000000000000002,"Численность студентов иностранных образовательных организаций, прошедших обучение в образовательной организации по образовательным по очной форме обучения по образовательным программам бакалавриата, программам специалитета, программам магистратуры, не менее семестра (триместра) в расчете на 100 студентов, обучающихся по очной форме обучения, ед."
2.1200000000000001,"Удельный вес средств, полученных образовательной организацией от использования результатов интеллектуальной деятельности, в общих доходах образовательной организации, %"
t2_1_E.4,"Финансово-экономическая деятельность, Значение показателя"
t5_2,"чел., 327"
t5_40,"Общая численность иностранных аспирантов (адъюнктов), интернов, ординаторов, ассистентов-стажеров, чел."
1.2,"Средний балл ЕГЭ студентов университета, принятых по результатам ЕГЭ на обучение по очной форме по программам бакалавриата и специалитета за счет средств соответствующих бюджетов бюджетной системы Российской Федерации, за исключением лиц, поступивших с учетом особых прав и в рамках квоты целевого приема, балл"
t2_3_E.1,"Образовательная деятельность, Изменение относительно прошлого года"
t1_5,web-сайт
5.5,"предоставленных в аренду, м"
t4_4_notag_1,notag
branches,Количество филиалов
5.4000000000000004,"предоставленных в безвозмездное пользование, м"
t2_3_E.8,"Дополнительный показатель, Изменение относительно прошлого года"
t5_17,"Количество бизнес-инкубаторов, ед."
t2_1_E.5,"Заработная плата ППС, Значение показателя"
t1_3,Ректор
t1_4,Ведомственная принадлежность
t5_35
t2_1_E.2,"Научно-исследовательская деятельность, Значение показателя"
