,branch,null,response,solution_type,"Вид свидетельства (свидетельство, временное свидетельство)",Дата выдачи свидетельства,Дата публикации сведений в сводном реестре,ИНН,"Место нахождения образовательной организации или организации, осуществляющей обучение","Наименование аккредитационного органа, выдавшего свидетельство",ОГРН,key,"Полное наименование образовательной организации или организации, осуществляющей обучение",Регистрационный номер свидетельства,"Серия, номер бланка свидетельства","Сокращённое наименование образовательной организации или организации, осуществляющей обучение",Срок действия свидетельства,Субъект РФ,Текущий статус свидетельства
159,"{'областное государственное бюджетное образовательное учреждение высшего образования «Смоленский государственный институт искусств»': ['Приказ от 27.06.2018 №898', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0f0d0a-100c-0a13-120b-0a0a0d0a0d10/1/>,{},Постоянное,27.06.2018,03.07.2018,6731028242,"улица Румянцева, дом 8, город Смоленск, Смоленская область, Российская Федерация, 214020",Федеральная служба по надзору в сфере образования и науки,1026701460147,u160,областное государственное бюджетное образовательное учреждение высшего образования «Смоленский государственный институт искусств»,2863,90А01 0003005,ОГБОУ ВО «Смоленский государственный институт искусств»,27.06.2024,Смоленская область,Действующее
160,"{'федеральное государственное бюджетное образовательное учреждение высшего образования «Ивановский государственный химико-технологический университет»': ['Приказ от 27.06.2018 №901', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0f0d0a-100b-130a-100e-0c0b0f0d1111/1/>,{},Постоянное,27.06.2018,03.07.2018,3728012818,"153000, Ивановская область, г. Иваново, пр. Шереметевский, д. 7",Федеральная служба по надзору в сфере образования и науки,1033700053606,,федеральное государственное бюджетное образовательное учреждение высшего образования «Ивановский государственный химико-технологический университет»,2864,90А01 0003006,"ФГБОУ ВО «ИГХТУ», ИГХТУ",27.06.2024,Ивановская область,Действующее
161,"{'федеральное государственное бюджетное образовательное учреждение высшего образования «Брянский государственный технический университет»': ['Приказ от 27.06.2018 №893', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0f0d0a-100c-0e0f-120c-12130c110e0c/1/>,{},Постоянное,27.06.2018,03.07.2018,3232000278,"241035, Брянская область, г. Брянск, бульвар 50 лет Октября, д. 7",Федеральная служба по надзору в сфере образования и науки,1023201058627,u162,федеральное государственное бюджетное образовательное учреждение высшего образования «Брянский государственный технический университет»,2860,90А01 0003002,"ФГБОУ ВО «БГТУ», БГТУ, БГТУ (БИТМ), ФГБОУ ВО «Брянский государственный технический университет», Брянский государственный технический университет",27.06.2024,Брянская область,Действующее
162,"{'федеральное государственное бюджетное образовательное учреждение высшего образования «Приволжский исследовательский  медицинский университет» Министерства здравоохранения Российской Федерации': ['Распоряжение от 26.06.2018 №1015-06', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0f0d0a-1212-0e0d-1113-0c0d12130c11/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 26.06.2018 №1015-06'},Постоянное,26.06.2018,06.07.2018,5260037940,"603005, Нижегородская область, г. Нижний Новгород, пл. Минина и Пожарского, д. 10/1",Федеральная служба по надзору в сфере образования и науки,1025203045482,,федеральное государственное бюджетное образовательное учреждение высшего образования «Приволжский исследовательский  медицинский университет» Министерства здравоохранения Российской Федерации,2859,90А01 0003001,"ФГБОУ ВО ""ПИМУ"" Минздрава  России",21.02.2024,Нижегородская область,Действующее
163,"{'Филиал государственного бюджетного образовательного учреждения высшего образования Московской области «Университет «Дубна» - Дмитровский институт непрерывного образования': ['Приказ от 20.06.2018 №843', 'Действующее'], 'Филиал «Угреша» государственного бюджетного образовательного учреждения высшего образования Московской области «Университет «Дубна»': ['Приказ от 20.06.2018 №843', 'Действующее'], 'Филиал государственного бюджетного образовательного учреждения высшего образования Московской области «Университет Дубна» - Лыткаринский промышленно-гуманитарный колледж': ['Приказ от 20.06.2018 №843', 'Действующее'], 'государственное бюджетное образовательное учреждение высшего образования Московской области «Университет «Дубна»': ['Приказ от 20.06.2018 №843', 'Действующее'], 'Филиал «Котельники» государственного бюджетного образовательного учреждения высшего образования Московской области «Университет «Дубна»': ['Приказ от 20.06.2018 №843', 'Действующее'], 'Филиал «Протвино» государственного бюджетного образовательного учреждения высшего образования Московской области «Университет «Дубна»': ['Приказ от 20.06.2018 №843', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0f0c13-1011-100e-120a-130d0f10110b/1/>,{},Постоянное,20.06.2018,22.06.2018,5010010374,"141982, Московская область, г. Дубна, ул. Университетская, д. 19",Федеральная служба по надзору в сфере образования и науки,1025001421026,u164,государственное бюджетное образовательное учреждение высшего образования Московской области «Университет «Дубна»,2854,90А01 0002996,государственный университет «Дубна»,20.06.2024,Московская область,Действующее
164,"{'федеральное государственное бюджетное образовательное учреждение высшего образования «Литературный институт имени А.М. Горького»': ['Приказ от 20.06.2018 №844', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0f0d0a-0c11-0f12-0c0c-0d0c0b13130f/1/>,{},Постоянное,20.06.2018,29.06.2018,7703035708,"123104, г. Москва, Тверской бульвар, д. 25",Федеральная служба по надзору в сфере образования и науки,1027739212324,u165,федеральное государственное бюджетное образовательное учреждение высшего образования «Литературный институт имени А.М. Горького»,2855,90А01 0002997,ФГБОУ ВО «Литературный институт имени А.М. Горького»,20.06.2024,г. Москва,Действующее
165,"{'Енотаевский филиал государственного автономного образовательного учреждения Астраханской области высшего образования «Астраханский государственный архитектурно-строительный университет»': ['Приказ от 20.06.2018 №846', 'Действующее'], 'государственное автономное образовательное учреждение Астраханской области высшего образования «Астраханский государственный архитектурно-строительный университет»': ['Приказ от 20.06.2018 №846', 'Действующее'], 'Харабалинский филиал государственного автономного образовательного учреждения Астраханской области высшего образования «Астраханский государственный архитектурно-строительный университет»': ['Приказ от 20.06.2018 №846', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0f0d0a-0c11-0e12-0f11-0d120c120c0b/1/>,{},Постоянное,20.06.2018,29.06.2018,3016008360,"414056, Астраханская область, город Астрахань, улица Татищева, 18",Федеральная служба по надзору в сфере образования и науки,1023000833954,,государственное автономное образовательное учреждение Астраханской области высшего образования «Астраханский государственный архитектурно-строительный университет»,2857,90А01 0002999,ГАОУ АО ВО «АГАСУ»,20.06.2024,Астраханская область,Действующее
166,"{'федеральное государственное бюджетное образовательное учреждение высшего образования «Воронежский государственный медицинский университет имени Н.Н. Бурденко» Министерства здравоохранения Российской Федерации': ['Приказ от 20.06.2018 №847', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0f0d0a-0c11-0e0f-0a0e-0b0a0c0d1011/1/>,{},Постоянное,20.06.2018,29.06.2018,3666027794,"394036, Воронежская область, г. Воронеж, ул. Студенческая, д. 10",Федеральная служба по надзору в сфере образования и науки,1033600044070,u167,федеральное государственное бюджетное образовательное учреждение высшего образования «Воронежский государственный медицинский университет имени Н.Н. Бурденко» Министерства здравоохранения Российской Федерации,2858,90А01 0003000,ФГБОУ ВО ВГМУ им. Н.Н. Бурденко Минздрава России,20.06.2024,Воронежская область,Действующее
167,"{'Каменский технологический институт - филиал федерального государственного бюджетного образовательного учреждения высшего образования «Пензенский государственный технологический университет»': ['Приказ от 13.06.2018 №797', 'Действующее'], 'федеральное государственное бюджетное образовательное учреждение высшего образования «Пензенский государственный технологический университет»': ['Приказ от 13.06.2018 №797', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0f0c13-0f0a-0d10-1312-110f13120c0f/1/>,{},Постоянное,13.06.2018,20.06.2018,5835055697,"440039, г. Пенза, Байдукова проезд/Гагарина улица, д. 1А/11",Федеральная служба по надзору в сфере образования и науки,1045802502690,u168,федеральное государственное бюджетное образовательное учреждение высшего образования «Пензенский государственный технологический университет»,2853,90А01 0002995,"Пензенский государственный технологический университет, ПензГТУ, ФГБОУ ВО «Пензенский государственный технологический университет»",13.06.2024,Пензенская область,Действующее
168,"{'Федеральное государственное  бюджетное образовательное учреждение высшего образования «Сибирский государственный университет физической культуры и спорта»': ['Приказ от 13.06.2018 №796', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0f0c13-0f0a-0c0f-0d10-120d0b0d0a0b/1/>,{},Постоянное,13.06.2018,20.06.2018,5506020963,"644009, Омская область, город Омск, улица Масленникова, д. 144",Федеральная служба по надзору в сфере образования и науки,1025501250235,u169,Федеральное государственное  бюджетное образовательное учреждение высшего образования «Сибирский государственный университет физической культуры и спорта»,2852,90А01 0002994,ФГБОУ ВО СибГУФК,13.06.2024,Омская область,Действующее
169,"{'федеральное государственное бюджетное образовательное учреждение высшего образования «Смоленский государственный университет»': ['Приказ от 13.06.2018 №795', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0f0c13-0f0a-0b11-100c-101312121111/1/>,{},Постоянное,13.06.2018,20.06.2018,6730015219,"214000, г. Смоленск, ул. Пржевальского, д. 4",Федеральная служба по надзору в сфере образования и науки,1026701447123,u170,федеральное государственное бюджетное образовательное учреждение высшего образования «Смоленский государственный университет»,2851,90А01 0002993,СмолГУ,13.06.2024,Смоленская область,Действующее
170,"{'Автономное образовательное учреждение высшего образования Ленинградской области «Государственный институт экономики, финансов, права и технологий»': ['Приказ от 13.06.2018 №794', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0f0c13-0f0a-0b0b-110c-10100b0e110c/1/>,{},Постоянное,13.06.2018,20.06.2018,4705015324,"Российская Федерация, Ленинградская область, г. Гатчина, ул. Рощинская, дом 5",Федеральная служба по надзору в сфере образования и науки,1024701244017,u171,"Автономное образовательное учреждение высшего образования Ленинградской области «Государственный институт экономики, финансов, права и технологий»",2850,90А01 0002992,АОУ ВО ЛО «ГИЭФПТ»,13.06.2024,Ленинградская область,Действующее
171,"{'Томский сельскохозяйственный институт - филиал федерального государственного бюджетного образовательного учреждения высшего образования «Новосибирский государственный аграрный университет»': ['Приказ от 13.06.2018 №793', 'Действующее'], 'федеральное государственное бюджетное образовательное учреждение высшего образования «Новосибирский государственный аграрный университет»': ['Приказ от 13.06.2018 №793', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0f0c13-0f0a-0a10-1310-0d0e0e0d0d0f/1/>,{},Постоянное,13.06.2018,20.06.2018,5405115993,"630039, Новосибирская область, г. Новосибирск, ул. Добролюбова, 160",Федеральная служба по надзору в сфере образования и науки,1025401932753,u172,федеральное государственное бюджетное образовательное учреждение высшего образования «Новосибирский государственный аграрный университет»,2849,90А01 0002991,ФГБОУ ВО Новосибирский ГАУ,13.06.2024,Новосибирская область,Действующее
172,"{'федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского»': ['Приказ от 13.06.2018 №791', 'Действующее'], 'Балахнинский филиал федерального государственного автономного образовательного учреждения высшего образования\xa0«Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского»': ['Приказ от 13.06.2018 №791', 'Действующее'], 'Арзамасский филиал федерального государственного автономного образовательного учреждения высшего образования  «Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского»': ['Приказ от 13.06.2018 №791', 'Действующее'], 'Павловский филиал федерального государственного автономного образовательного учреждения высшего образования «Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского»': ['Приказ от 13.06.2018 №791', 'Действующее'], 'Дзержинский филиал федерального государственного автономного образовательного учреждения высшего образования  «Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского»': ['Приказ от 13.06.2018 №791', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0f0c13-0e13-100a-0b0f-10110a100f0a/1/>,{},Постоянное,13.06.2018,20.06.2018,5262004442,"603950, г. Нижний Новгород, пр. Гагарина, д. 23",Федеральная служба по надзору в сфере образования и науки,1025203733510,u173,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского»,2847,90А01 0002989,"Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского, Нижегородский государственный университет им. Н.И. Лобачевского, ННГУ им. Н.И. Лобачевского, Университет Лобачевского, ННГУ",13.06.2024,Нижегородская область,Действующее
173,"{'федеральное государственное бюджетное образовательное учреждение высшего образования «Тульский государственный педагогический университет им. Л.Н. Толстого»': ['Приказ от 19.12.2018 №1686', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0f0c13-0e13-130a-130e-120c0c0f1311/1/>,{},Постоянное,13.06.2018,20.06.2018,7107030811,"300026, Тульская область, г. Тула, проспект Ленина, д. 125",Федеральная служба по надзору в сфере образования и науки,1027100979674,u174,федеральное государственное бюджетное образовательное учреждение высшего образования «Тульский государственный педагогический университет им. Л.Н. Толстого»,2848,90А01 0002990,"ФГБОУ ВО «Тульский государственный педагогический университет им. Л.Н. Толстого», Тульский государственный педагогический университет им. Л.Н. Толстого, ФГБОУ ВО «ТГПУ им. Л.Н. Толстого», ТГПУ им. Л.Н. Толстого",13.06.2024,Тульская область,Действующее
174,"{'Частное образовательное учреждение высшего образования «Международный Институт Дизайна и Сервиса»': ['Распоряжение от 06.06.2018 №911-06', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0f0c12-0d11-130d-110f-0d0f110e0d0f/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 06.06.2018 №911-06'},Постоянное,06.06.2018,07.06.2018,7447003558,"454014, Челябинская область, город Челябинск, улица Ворошилова, д. 12",Федеральная служба по надзору в сфере образования и науки,1027402323080,,Частное образовательное учреждение высшего образования «Международный Институт Дизайна и Сервиса»,2845,90А01 0002987,ЧОУВО МИДиС,27.04.2028,Челябинская область,Действующее
175,"{'Частное образовательное учреждение высшего образования «Международный Институт Дизайна и Сервиса»': ['Распоряжение от 06.06.2018 №912-06', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0f0c12-0d11-130d-110f-0d11120b1011/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 06.06.2018 №912-06'},Постоянное,06.06.2018,07.06.2018,7447003558,"454014, Челябинская область, город Челябинск, улица Ворошилова, д. 12",Федеральная служба по надзору в сфере образования и науки,1027402323080,,Частное образовательное учреждение высшего образования «Международный Институт Дизайна и Сервиса»,2846,90А01 0002988,ЧОУВО МИДиС,01.04.2019,Челябинская область,Действующее
176,"{'федеральное государственное бюджетное образовательное учреждение высшего образования «Чеченский государственный университет»': ['Приказ от 30.05.2018 №739', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0f0c12-0c0b-0c0f-0c0b-0f0d0b0d0a0c/1/>,{},Постоянное,30.05.2018,05.06.2018,2020000570,"364093, Чеченская Республика, г. Грозный,  ул. А.Шерипова, дом №32",Федеральная служба по надзору в сфере образования и науки,1032001202903,u177,федеральное государственное бюджетное образовательное учреждение высшего образования «Чеченский государственный университет»,2843,90А01 0002983,ФГБОУ ВО «Чеченский государственный университет»,30.05.2030,Чеченская Республика,Действующее
177,"{'федеральное государственное бюджетное образовательное учреждение высшего образования ""Иркутский государственный медицинский университет"" Министерства здравоохранения  Российской Федерации': ['Приказ от 30.05.2018 №738', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0f0c12-0c0a-130f-0e0c-0c100c0e0a13/1/>,{},Постоянное,30.05.2018,05.06.2018,3811022096,"664003, Иркутская область, город Иркутск, улица Красного Восстания, 1",Федеральная служба по надзору в сфере образования и науки,1023801539673,u178,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Иркутский государственный медицинский университет"" Министерства здравоохранения  Российской Федерации",2842,90А01 0002982,ФГБОУ ВО ИГМУ Минздрава России,30.05.2024,Иркутская область,Действующее
178,"{'федеральное государственное бюджетное образовательное учреждение высшего образования «Ивановская пожарно-спасательная академия Государственной противопожарной службы Министерства Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий»': ['Приказ от 30.05.2018 №740', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0f0c12-0c0a-1113-1210-0a0c130c0f0a/1/>,{},Постоянное,30.05.2018,05.06.2018,3702050590,"153040,  г. Иваново, пр-т Строителей, д. 33",Федеральная служба по надзору в сфере образования и науки,1047717000803,,"федеральное государственное бюджетное образовательное учреждение высшего образования «Ивановская пожарно-спасательная академия Государственной противопожарной службы Министерства Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий»",2844,90А01 0002984,ФГБОУ ВО Ивановская пожарно-спасательная академия ГПС МЧС России,30.05.2024,Ивановская область,Действующее
179,"{'Негосударственное образовательное учреждение высшего образования «Российская экономическая школа» (институт)': ['Распоряжение от 29.05.2018 №864-06', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0f0c12-0c0b-0f0d-0b0e-13100e131311/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 29.05.2018 №864-06'},Постоянное,29.05.2018,05.06.2018,7727016888,"121353, город Москва, Сколковское шоссе, дом 45",Федеральная служба по надзору в сфере образования и науки,1037739159424,u180,Негосударственное образовательное учреждение высшего образования «Российская экономическая школа» (институт),2840,90А01 0002980,"НОУ ВО РЭШ, Российская экономическая школа, РЭШ",31.10.2018,г. Москва,Действующее
180,"{'федеральное государственное бюджетное образовательное учреждение высшего образования «Томский государственный архитектурно-строительный университет»': ['Приказ от 24.05.2018 №712', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0f0c12-0c0b-0c0d-1011-110e130d0c12/1/>,{},Постоянное,24.05.2018,05.06.2018,7020000080,"634003, Томская область, г. Томск, пл. Соляная, д. 2",Федеральная служба по надзору в сфере образования и науки,1027000882886,u181,федеральное государственное бюджетное образовательное учреждение высшего образования «Томский государственный архитектурно-строительный университет»,2834,90А01 0002974,"ФГБОУ ВО «Томский государственный архитектурно-строительный  университет», Томский государственный архитектурно-строительный университет, ТГАСУ",24.05.2024,Томская область,Действующее
181,"{'федеральное государственное бюджетное образовательное учреждение высшего образования «Саратовская государственная консерватория имени Л.В. Собинова»': ['Приказ от 24.05.2018 №714', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0f0c12-0c0b-0c0b-1013-0a110c0c1210/1/>,{},Постоянное,24.05.2018,05.06.2018,6455008075,"410012, Саратовская область, г. Саратов, просп. им. Кирова С.М., д. 1",Федеральная служба по надзору в сфере образования и науки,1026403670765,u182,федеральное государственное бюджетное образовательное учреждение высшего образования «Саратовская государственная консерватория имени Л.В. Собинова»,2836,90А01 0002976,Саратовская государственная консерватория имени Л.В. Собинова,24.05.2024,Саратовская область,Действующее
182,"{'федеральное государственное бюджетное образовательное учреждение высшего образования «Рязанский государственный университет имени С.А. Есенина»': ['Приказ от 24.05.2018 №715', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0f0c12-0c0b-0a0e-0e10-0f0c0a0a0b13/1/>,{},Постоянное,24.05.2018,05.06.2018,6231016055,"390000, Рязанская область, г. Рязань, ул. Свободы, д. 46",Федеральная служба по надзору в сфере образования и науки,1026201268301,u183,федеральное государственное бюджетное образовательное учреждение высшего образования «Рязанский государственный университет имени С.А. Есенина»,2837,90А01 0002977,РГУ имени С.А. Есенина,24.05.2024,Рязанская область,Действующее
183,"{'федеральное государственное бюджетное образовательное учреждение высшего образования «Курский государственный университет»': ['Приказ от 24.05.2018 №711', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0f0c12-0c0a-1313-100a-0e12110c0c12/1/>,{},Постоянное,24.05.2018,05.06.2018,4629031018,"305000, г. Курск, ул. Радищева, д. 33",Федеральная служба по надзору в сфере образования и науки,1024600954608,u184,федеральное государственное бюджетное образовательное учреждение высшего образования «Курский государственный университет»,2833,90А01 0002972,"ФГБОУ ВО «КГУ», КГУ, ФГБОУ ВО «Курский государственный университет»",24.05.2024,Курская область,Действующее
184,"{'Автономная некоммерческая организация высшего образования «Гуманитарный университет»': ['Приказ от 24.05.2018 №716', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0f0c12-0c0a-1011-0a0c-0d0a110b0d12/1/>,{},Постоянное,24.05.2018,05.06.2018,6670433160,"620041, г. Екатеринбург, ул. Железнодорожников, дом 3",Федеральная служба по надзору в сфере образования и науки,1169600000668,u185,Автономная некоммерческая организация высшего образования «Гуманитарный университет»,2838,90А01 0002978,АНО ВО «Гуманитарный университет»,24.05.2024,Свердловская область,Действующее
185,"{'Федеральное государственное бюджетное образовательное учреждение высшего образования «Государственный университет морского и речного флота имени адмирала С.О. Макарова»': ['Приказ от 15.05.2018 №626', 'Действующее'], 'Печорское речное училище - филиал Федерального государственного бюджетного образовательного учреждения высшего образования «Государственный университет морского и речного флота имени адмирала С.О. Макарова»': ['Приказ от 19.09.2018 №1299', 'Действующее'], 'Велико-Устюгский филиал Федерального государственного бюджетного образовательного учреждения высшего образования «Государственный университет морского и речного флота имени адмирала С.О. Макарова»': ['Приказ от 19.09.2018 №1299', 'Действующее'], 'Беломорско-Онежский филиал Федерального государственного бюджетного образовательного учреждения высшего образования «Государственный университет морского и речного флота имени адмирала С.О. Макарова»': ['Приказ от 04.07.2018 №953', 'Действующее'], 'Воронежский филиал Федерального государственного бюджетного образовательного учреждения высшего образования «Государственный университет морского и речного флота имени адмирала С.О. Макарова»': ['Приказ от 24.05.2018 №717', 'Действующее'], 'Московская государственная академия водного транспорта - филиал Федерального государственного бюджетного образовательного учреждения высшего образования «Государственный университет морского и речного флота имени адмирала С.О. Макарова»': ['Приказ от 08.08.2018 №1129', 'Действующее'], 'Арктический морской институт имени В.И. Воронина - филиал Федерального государственного бюджетного образовательного учреждения высшего образования «Государственный университет морского и речного флота имени адмирала С.О. Макарова»': ['Приказ от 27.06.2018 №902', 'Действующее'], 'Котласский филиал Федерального государственного бюджетного образовательного учреждения высшего образования «Государственный университет морского и речного флота имени адмирала С.О. Макарова»': ['Приказ от 13.06.2018 №804', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0f0c10-1212-1011-1111-0b0f1111130d/1/>,{},Постоянное,15.05.2018,21.05.2018,7805029012,"198035, Санкт-Петербург, ул. Двинская, д. 5/7",Федеральная служба по надзору в сфере образования и науки,1037811048989,u186,Федеральное государственное бюджетное образовательное учреждение высшего образования «Государственный университет морского и речного флота имени адмирала С.О. Макарова»,2821,90А01 0002959,ФГБОУ ВО «ГУМРФ имени адмирала С.О. Макарова»,15.05.2024,г. Санкт-Петербург,Действующее
186,"{'федеральное государственное бюджетное образовательное учреждение высшего образования «Юго-Западный государственный университет»': ['Приказ от 15.05.2018 №622', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0f0c10-1213-0b10-0f0a-110f11101313/1/>,{},Постоянное,15.05.2018,21.05.2018,4629029058,"305040, Курская область, г. Курск, ул. 50 лет Октября, д. 94",Федеральная служба по надзору в сфере образования и науки,1034637015786,,федеральное государственное бюджетное образовательное учреждение высшего образования «Юго-Западный государственный университет»,2826,90А01 0002964,"ФГБОУ ВО «Юго-Западный государственный университет», Юго-Западный государственный университет, ФГБОУ ВО «ЮЗГУ», ЮЗГУ",15.05.2024,Курская область,Действующее
187,"{'федеральное государственное бюджетное образовательное учреждение высшего образования «Уральский государственный экономический университет»': ['Приказ от 15.05.2018 №621', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0f0c10-1213-0b0b-110c-12111011120b/1/>,{},Постоянное,15.05.2018,21.05.2018,6661003675,"620219, Свердловская область, г. Екатеринбург, ул. 8 Марта/Народной Воли, д. 62/45",Федеральная служба по надзору в сфере образования и науки,1026605233753,u188,федеральное государственное бюджетное образовательное учреждение высшего образования «Уральский государственный экономический университет»,2825,90А01 0002963,"ФГБОУ ВО  «Уральский государственный экономический университет»,  Уральский государственный экономический университет, УрГЭУ",15.05.2024,Свердловская область,Действующее
