,branch,null,response,solution_type,"Вид свидетельства (свидетельство, временное свидетельство)",Дата выдачи свидетельства,Дата публикации сведений в сводном реестре,ИНН,"Место нахождения образовательной организации или организации, осуществляющей обучение","Наименование аккредитационного органа, выдавшего свидетельство",ОГРН,key,"Полное наименование образовательной организации или организации, осуществляющей обучение",Регистрационный номер свидетельства,"Серия, номер бланка свидетельства","Сокращённое наименование образовательной организации или организации, осуществляющей обучение",Срок действия свидетельства,Субъект РФ,Текущий статус свидетельства
706,"{'федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет «Высшая школа экономики»': ['Приказ от 19.09.2018 №1296', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e100e-0f13-0c0c-1211-111213100b0a/1/>,{'Приказ о возобновлении действия ГА': 'Приказ от 30.03.2016 №470'},Постоянное,30.03.2016,15.08.2016,7714030726,"101000, г. Москва, ул. Мясницкая, д. 20",Федеральная служба по надзору в сфере образования и науки,1027739630401,u306,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет «Высшая школа экономики»,1819,90А01 0001912,"Национальный исследовательский университет «Высшая школа экономики»,  Высшая школа экономики, НИУ ВШЭ, ВШЭ",30.03.2028,г. Москва,Действующее
707,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/e6a5531a-3ccd-4539-8059-d4586da21a6c/1/>,{},Постоянное,30.03.2016,16.08.2016,3016009269,"414056, Астраханская область, г. Астрахань, ул. Татищева, д. 20а",Федеральная служба по надзору в сфере образования и науки,1023000818554,u709,федеральное государственное бюджетное образовательное учреждение высшего образования «Астраханский государственный университет»,1798,90А01 0001891,"ФГБОУ ВО \\»Астраханский государственный университет\\», Астраханский государственный университет, АГУ",03.04.2021,Астраханская область,Действующее
708,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/bbb34c4a-0520-4779-9f43-cdb270081c4e/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 13.06.2017 №1211-06'},Постоянное,28.03.2016,01.09.2016,7716166610,"129345, город Москва, улица Осташковская, дом 15",Федеральная служба по надзору в сфере образования и науки,1037716015600,,федеральное государственное казенное образовательное учреждение высшего образования «Московский пограничный институт Федеральной службы безопасности Российской Федерации»,1795,90А01 0001888,ФГКОУ МПИ ФСБ России,15.04.2021,г. Москва,Действующее
709,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/749ed45f-c384-44e3-9e40-ccd38c27da30/1/>,{},Постоянное,28.03.2016,18.08.2016,7708113420,"107078, г. Москва, 1-й Басманный переулок, дом 3, строение 1",Федеральная служба по надзору в сфере образования и науки,1027739349329,u711,Негосударственная автономная некоммерческая организация высшего образования «Институт мировых цивилизаций»,1781,90А01 0001874,НАНО ВО «ИМЦ»,19.07.2019,г. Москва,Действующее
710,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/d4a28158-51ba-4b1b-959d-9dee9c15fb0e/1/>,{},Постоянное,28.03.2016,18.08.2016,7729272615,"Российская Федерация, 119602, город Москва, Мичуринский проспект, дом 70",Федеральная служба по надзору в сфере образования и науки,1037700137441,,федеральное государственное казенное образовательное учреждение высшего образования «Академия Федеральной службы безопасности Российской Федерации»,1788,90А01 0001881,Академия ФСБ России,01.04.2019,г. Москва,Действующее
711,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/e18009eb-be78-429d-b928-b6d448228d41/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 12.05.2017 №1026-06'},Постоянное,28.03.2016,01.09.2016,4501042062,"640016, Россия, Курганская область, город Курган-16",Федеральная служба по надзору в сфере образования и науки,1034500008795,,федеральное государственное казенное образовательное учреждение высшего образования «Курганский пограничный институт Федеральной службы безопасности Российской Федерации»,1790,90А01 0001883,ФГКОУ КПИ ФСБ России,07.05.2020,Курганская область,Действующее
712,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/cf31a41d-a0be-4ad5-bc8b-3c7f3fc8cc51/1/>,{},Постоянное,28.03.2016,01.09.2016,711037537,"360004, Кабардино-Балкарская Республика, г. Нальчик, ул. Чернышевского, д. 173",Федеральная служба по надзору в сфере образования и науки,1020700739234,u714,федеральное государственное бюджетное образовательное учреждение высшего образования «Кабардино-Балкарский государственный университет им. Х.М. Бербекова»,1783,90А01 0001876,"КБГУ, Кабардино-Балкарский государственный университет им. Х.М. Бербекова",01.04.2020,Кабардино-Балкарская Республика,Действующее
713,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/3b965798-e971-429b-9af2-4ba42a13fdd8/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 24.03.2017 №648-06'},Постоянное,28.03.2016,16.08.2016,4629029121,"305021,  г. Курск, Карла  Маркса ул., 70",Федеральная служба по надзору в сфере образования и науки,1034637005292,u715,федеральное государственное бюджетное образовательное учреждение высшего образования «Курская государственная сельскохозяйственная академия имени И.И. Иванова»,1777,90А01 0002070,ФГБОУ ВО Курская ГСХА,31.05.2019,Курская область,Действующее
714,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/acf09fe8-0654-40f5-b9f2-e0a1a173c2a8/1/>,{},Постоянное,28.03.2016,16.08.2016,5502030791,"644008, г. Омск, Институтская площадь, 1",Федеральная служба по надзору в сфере образования и науки,1025500508330,u716,федеральное государственное бюджетное образовательное учреждение высшего образования «Омский государственный аграрный университет имени П.А. Столыпина»,1780,90А01 0001873,ФГБОУ ВПО ОмГАУ им. П.А.Столыпина,05.05.2021,Омская область,Действующее
715,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/ce955100-c1cc-4b8c-bcf2-526ea03ddab4/1/>,{},Постоянное,28.03.2016,16.08.2016,2466001998,"660049, Красноярский край, г.  Красноярск, ул. Ады Лебедевой, д. 89",Федеральная служба по надзору в сфере образования и науки,1022402653008,u717,федеральное государственное бюджетное образовательное учреждение высшего образования «Красноярский государственный педагогический университет им. В.П. Астафьева»,1782,90А01 0001875,КГПУ им. В.П. Астафьева,31.01.2020,Красноярский край,Действующее
